hour,standard_n6,highconc_n10,compact_n4
6,10.619076,6.209907,16.096073
7,23.739570,51.483983,18.396009
8,79.152694,77.522632,53.089151
9,83.035646,81.327264,83.755484
10,85.214268,83.437874,85.962511
11,86.271150,84.449788,87.038178
12,86.637209,84.796829,87.412197
13,86.511539,84.677972,87.283675
14,85.821450,84.020666,86.579877
15,84.237253,82.494408,84.971492
16,81.236398,79.569579,70.523265
17,55.261954,74.599214,29.036040
18,11.410931,6.688889,17.281186
19,9.575844,5.573019,14.539828
20,0.000000,0.000000,0.000000
