hr_cm,hr_wf_6mirror,energy_6mirror_W,hr_wf_10mirror,energy_10mirror_W
80,0.5333,361.228018,0.2222,354.443698
90,0.6000,362.334702,0.2500,395.733269
100,0.6667,360.747987,0.2778,456.314083
110,0.7333,357.305880,0.3056,480.507709
120,0.8000,352.583209,0.3333,498.055475
130,0.8667,346.981836,0.3611,495.376102
140,0.9333,340.786317,0.3889,491.402735
150,1.0000,334.200185,0.4167,486.391288
160,1.0667,327.370252,0.4444,480.549720
170,1.1333,320.403177,0.4722,474.048371
180,1.2000,313.376883,0.5000,467.027569
200,1.3333,299.360163,0.5556,451.872141
220,1.4667,285.618536,0.6111,435.795147
250,1.6667,265.848790,0.6944,410.986174
